2011 super output area - lower layer,LSOA_CODE,SUM_CLAIMS
Liverpool 001A,E01006651,44
Liverpool 001B,E01006653,144
Liverpool 001C,E01006655,107
Liverpool 001D,E01006658,166
Liverpool 001E,E01006660,174
Liverpool 002A,E01006652,80
Liverpool 002B,E01006656,112
Liverpool 002C,E01006657,144
Liverpool 002D,E01006780,95
Liverpool 002E,E01006783,78
Liverpool 003A,E01006781,56
Liverpool 003B,E01006782,166
Liverpool 003C,E01006784,86
Liverpool 003D,E01006785,150
Liverpool 003E,E01006786,134
Liverpool 004A,E01006661,203
Liverpool 004B,E01006662,221
Liverpool 004C,E01006663,62
Liverpool 004D,E01006664,357
Liverpool 004E,E01006669,80
Liverpool 005A,E01006654,90
Liverpool 005B,E01006659,131
Liverpool 005C,E01006734,266
Liverpool 005D,E01006735,185
Liverpool 005E,E01006736,157
Liverpool 005F,E01006737,155
Liverpool 006A,E01006787,217
Liverpool 006B,E01006788,56
Liverpool 006C,E01006790,352
Liverpool 006D,E01006791,256
Liverpool 007A,E01006665,73
Liverpool 007B,E01006666,90
Liverpool 007C,E01006667,182
Liverpool 007D,E01006668,76
Liverpool 007E,E01006670,58
Liverpool 008A,E01006607,217
Liverpool 008B,E01006612,191
Liverpool 008C,E01006729,185
Liverpool 008F,E01032510,88
Liverpool 008G,E01032511,117
Liverpool 009A,E01006608,148
Liverpool 009B,E01006609,185
Liverpool 009C,E01006610,241
Liverpool 009D,E01006613,125
Liverpool 009E,E01006705,260
Liverpool 010A,E01006598,147
Liverpool 010B,E01006599,181
Liverpool 010E,E01006672,234
Liverpool 010F,E01033759,228
Liverpool 011A,E01006600,203
Liverpool 011B,E01006603,154
Liverpool 011C,E01006730,151
Liverpool 011D,E01006731,131
Liverpool 011E,E01006732,217
Liverpool 012A,E01006611,333
Liverpool 012B,E01006614,315
Liverpool 012C,E01006615,184
Liverpool 012D,E01006698,254
Liverpool 012E,E01006700,236
Liverpool 013A,E01006623,30
Liverpool 013B,E01006624,210
Liverpool 013C,E01006627,119
Liverpool 013D,E01006671,109
Liverpool 014A,E01006699,300
Liverpool 014B,E01006701,181
Liverpool 014C,E01006702,292
Liverpool 014D,E01006703,366
Liverpool 014E,E01006778,519
Liverpool 015A,E01006541,271
Liverpool 015B,E01006543,48
Liverpool 015C,E01006544,245
Liverpool 015D,E01006616,139
Liverpool 015E,E01006762,180
Liverpool 016A,E01006604,122
Liverpool 016B,E01006605,195
Liverpool 016C,E01006618,132
Liverpool 016D,E01006625,47
Liverpool 016E,E01006626,69
Liverpool 017A,E01006637,270
Liverpool 017B,E01006638,217
Liverpool 017C,E01006639,137
Liverpool 017D,E01006644,319
Liverpool 017E,E01006645,263
Liverpool 018A,E01006542,146
Liverpool 018B,E01006558,260
Liverpool 018E,E01006562,284
Liverpool 018F,E01033747,164
Liverpool 019A,E01006545,156
Liverpool 019B,E01006546,167
Liverpool 019C,E01006547,505
Liverpool 019D,E01006548,352
Liverpool 019E,E01006766,425
Liverpool 019F,E01006767,374
Liverpool 020A,E01006606,252
Liverpool 020B,E01006761,487
Liverpool 020C,E01006763,231
Liverpool 020D,E01006764,405
Liverpool 020E,E01006765,279
Liverpool 020F,E01006768,266
Liverpool 021A,E01006617,42
Liverpool 021B,E01006619,142
Liverpool 021C,E01006620,73
Liverpool 021D,E01006621,69
Liverpool 021E,E01006622,55
Liverpool 021F,E01006640,83
Liverpool 022B,E01006776,144
Liverpool 022D,E01006779,136
Liverpool 022E,E01033764,684
Liverpool 023A,E01006560,298
Liverpool 023B,E01006564,100
Liverpool 023C,E01006646,455
Liverpool 023D,E01006648,164
Liverpool 024A,E01006540,590
Liverpool 024B,E01006563,271
Liverpool 024C,E01006647,317
Liverpool 024D,E01006693,278
Liverpool 025A,E01006572,200
Liverpool 025B,E01006574,162
Liverpool 025C,E01006641,130
Liverpool 025D,E01006642,243
Liverpool 025E,E01006643,311
Liverpool 026A,E01006567,338
Liverpool 026B,E01006568,181
Liverpool 026C,E01006570,163
Liverpool 026D,E01006571,180
Liverpool 027A,E01006711,357
Liverpool 027D,E01006717,118
Liverpool 027E,E01006718,156
Liverpool 027F,E01006719,123
Liverpool 027G,E01032508,349
Liverpool 027H,E01032509,307
Liverpool 028A,E01006690,506
Liverpool 028B,E01006692,553
Liverpool 028C,E01006695,1276
Liverpool 028D,E01006759,138
Liverpool 028E,E01006760,687
Liverpool 029A,E01006565,135
Liverpool 029B,E01006569,214
Liverpool 029C,E01006573,195
Liverpool 029D,E01006712,68
Liverpool 029E,E01006713,157
Liverpool 030A,E01006691,408
Liverpool 030B,E01006694,756
Liverpool 030C,E01006696,399
Liverpool 030D,E01006697,677
Liverpool 030E,E01006746,267
Liverpool 031A,E01006512,217
Liverpool 031B,E01006747,187
Liverpool 031C,E01006748,221
Liverpool 031F,E01006751,280
Liverpool 031G,E01033763,459
Liverpool 032A,E01006566,118
Liverpool 032B,E01006585,232
Liverpool 032C,E01006586,319
Liverpool 032D,E01006587,231
Liverpool 032E,E01006716,250
Liverpool 034A,E01006575,80
Liverpool 034B,E01006576,94
Liverpool 034C,E01006577,62
Liverpool 034D,E01006579,51
Liverpool 034E,E01006584,196
Liverpool 035A,E01006720,495
Liverpool 035B,E01006725,200
Liverpool 035C,E01006726,335
Liverpool 035D,E01006727,206
Liverpool 035E,E01006728,560
Liverpool 035F,E01006752,273
Liverpool 036A,E01006578,149
Liverpool 036B,E01006580,67
Liverpool 036C,E01006581,46
Liverpool 036D,E01006773,105
Liverpool 036E,E01006774,88
Liverpool 037A,E01006514,426
Liverpool 037B,E01006515,209
Liverpool 037D,E01006673,623
Liverpool 037E,E01033757,210
Liverpool 037F,E01033768,403
Liverpool 038A,E01006550,153
Liverpool 038B,E01006557,118
Liverpool 038C,E01006721,452
Liverpool 038D,E01006722,492
Liverpool 038E,E01006723,414
Liverpool 038F,E01006724,186
Liverpool 039A,E01006552,670
Liverpool 039B,E01006556,823
Liverpool 039C,E01006674,778
Liverpool 039D,E01006679,1008
Liverpool 040A,E01006709,257
Liverpool 040B,E01006769,204
Liverpool 040C,E01006770,155
Liverpool 040D,E01006771,259
Liverpool 040E,E01006772,165
Liverpool 040F,E01006775,196
Liverpool 041A,E01006582,26
Liverpool 041B,E01006589,30
Liverpool 041C,E01006591,100
Liverpool 041D,E01006592,56
Liverpool 041E,E01006597,63
Liverpool 042A,E01006553,155
Liverpool 042C,E01006588,234
Liverpool 042D,E01006590,150
Liverpool 042E,E01006593,142
Liverpool 042F,E01033749,0
Liverpool 042G,E01033766,40
Liverpool 043A,E01006520,428
Liverpool 043B,E01006549,374
Liverpool 043C,E01006675,874
Liverpool 043D,E01006677,391
Liverpool 044A,E01006518,459
Liverpool 044B,E01006630,359
Liverpool 044C,E01006632,378
Liverpool 044D,E01006676,586
Liverpool 044E,E01006678,440
Liverpool 045A,E01006706,281
Liverpool 045B,E01006707,318
Liverpool 045C,E01006708,267
Liverpool 045D,E01006710,210
Liverpool 046A,E01006792,74
Liverpool 046B,E01006794,171
Liverpool 046C,E01006800,40
Liverpool 046D,E01006801,54
Liverpool 047A,E01006532,33
Liverpool 047B,E01006539,56
Liverpool 047C,E01006583,60
Liverpool 047D,E01006594,28
Liverpool 047E,E01006796,41
Liverpool 048A,E01006522,415
Liverpool 048B,E01006524,43
Liverpool 048C,E01006526,77
Liverpool 048D,E01006529,70
Liverpool 048E,E01006551,262
