LSOA11CD,all_ages
E01006512,2632
E01006513,2954
E01006514,1969
E01006515,1237
E01006518,1705
E01006519,1287
E01006520,1632
E01006521,1700
E01006522,1739
E01006523,1447
E01006524,1922
E01006525,1233
E01006526,1391
E01006527,1398
E01006528,1477
E01006529,1293
E01006530,1385
E01006531,1430
E01006532,1552
E01006533,1310
E01006534,1473
E01006535,1610
E01006536,1848
E01006537,2354
E01006538,1267
E01006539,1411
E01006540,1599
E01006541,1541
E01006542,1364
E01006543,1231
E01006544,1584
E01006545,1473
E01006546,1247
E01006547,1486
E01006548,1628
E01006549,1714
E01006550,1709
E01006551,1695
E01006552,2140
E01006553,1920
E01006554,1748
E01006556,2130
E01006557,2221
E01006558,1285
E01006560,1885
E01006562,1524
E01006563,1721
E01006564,1641
E01006565,1492
E01006566,1493
E01006567,1644
E01006568,1597
E01006569,1415
E01006570,1487
E01006571,1455
E01006572,1174
E01006573,1517
E01006574,1332
E01006575,1324
E01006576,1720
E01006577,1483
E01006578,1382
E01006579,1659
E01006580,1297
E01006581,1531
E01006582,1663
E01006583,1758
E01006584,1357
E01006585,1339
E01006586,1915
E01006587,1587
E01006588,1541
E01006589,1519
E01006590,1651
E01006591,1629
E01006592,1538
E01006593,1661
E01006594,1371
E01006595,1724
E01006596,1429
E01006597,1690
E01006598,1431
E01006599,1209
E01006600,1387
E01006603,1372
E01006604,1369
E01006605,1532
E01006606,1514
E01006607,1547
E01006608,1181
E01006609,1247
E01006610,1533
E01006611,1244
E01006612,1474
E01006613,1337
E01006614,1289
E01006615,1293
E01006616,1379
E01006617,1400
E01006618,1624
E01006619,1663
E01006620,1452
E01006621,1445
E01006622,1488
E01006623,1468
E01006624,1538
E01006625,1361
E01006626,1422
E01006627,1383
E01006628,1848
E01006629,1239
E01006630,1360
E01006632,1890
E01006633,1446
E01006637,1511
E01006638,1252
E01006639,1528
E01006640,1920
E01006641,1699
E01006642,1277
E01006643,1790
E01006644,2023
E01006645,1437
E01006646,1912
E01006647,1478
E01006648,2179
E01006651,1641
E01006652,1526
E01006653,1525
E01006654,1505
E01006655,1725
E01006656,1404
E01006657,1204
E01006658,1321
E01006659,1667
E01006660,1445
E01006661,1642
E01006662,1829
E01006663,1112
E01006664,1807
E01006665,1524
E01006666,1457
E01006667,1429
E01006668,1510
E01006669,1502
E01006670,1531
E01006671,1358
E01006672,1903
E01006673,2072
E01006674,1986
E01006675,1863
E01006676,1799
E01006677,1063
E01006678,2145
E01006679,2392
E01006680,1569
E01006681,1554
E01006682,1281
E01006683,1493
E01006684,2195
E01006685,1440
E01006686,1376
E01006687,2199
E01006688,1547
E01006689,1627
E01006690,1559
E01006691,1476
E01006692,2278
E01006693,1555
E01006694,1887
E01006695,1846
E01006696,1925
E01006697,1845
E01006698,1685
E01006699,1644
E01006700,1425
E01006701,1387
E01006702,1565
E01006703,1642
E01006705,1406
E01006706,1327
E01006707,1303
E01006708,1818
E01006709,1421
E01006710,1497
E01006711,1517
E01006712,1378
E01006713,1363
E01006716,1571
E01006717,1439
E01006718,1591
E01006719,1513
E01006720,1909
E01006721,1662
E01006722,1942
E01006723,1868
E01006724,1842
E01006725,1506
E01006726,1624
E01006727,1454
E01006728,1687
E01006729,1351
E01006730,1321
E01006731,1189
E01006732,1645
E01006734,1388
E01006735,1268
E01006736,1451
E01006737,1401
E01006738,1480
E01006739,1750
E01006740,1415
E01006741,1813
E01006742,1419
E01006743,2128
E01006744,1558
E01006745,1950
E01006746,1506
E01006747,4097
E01006748,2013
E01006751,2739
E01006752,1036
E01006753,1521
E01006754,1605
E01006755,1622
E01006756,1863
E01006757,1543
E01006758,1494
E01006759,1121
E01006760,1705
E01006761,1645
E01006762,1702
E01006763,1496
E01006764,1604
E01006765,1415
E01006766,1254
E01006767,1794
E01006768,1330
E01006769,1321
E01006770,994
E01006771,1398
E01006772,1075
E01006773,1392
E01006774,1437
E01006775,1312
E01006776,1736
E01006778,2184
E01006779,1956
E01006780,1502
E01006781,1479
E01006782,1561
E01006783,1535
E01006784,1360
E01006785,1760
E01006786,1820
E01006787,2306
E01006788,1801
E01006790,1639
E01006791,1679
E01006792,1364
E01006793,1493
E01006794,1594
E01006795,1455
E01006796,1609
E01006797,1490
E01006798,1387
E01006799,1832
E01006800,1394
E01006801,1361
E01032505,1293
E01032506,1362
E01032507,1501
E01032508,1734
E01032509,1388
E01032510,1839
E01032511,1351
E01033747,1125
E01033748,1343
E01033749,1078
E01033750,1652
E01033751,1842
E01033752,1698
E01033753,1258
E01033754,1773
E01033755,1273
E01033756,1351
E01033757,1263
E01033758,2141
E01033759,1334
E01033760,1883
E01033761,1551
E01033762,1722
E01033763,1604
E01033764,2270
E01033765,1370
E01033766,1124
E01033767,1076
E01033768,1311
